id_cliente,nombre,apellido,edad,antiguedad_laboral,ingresos_anuales,puntaje_credito,monto_prestamo,proposito_prestamo,estado_pago
10029,Ricardo,Mendoza,31,0,22985808,519,11249152,Coche,No Pagado
10030,Héctor,Aguilar,35,6,25950668,438,9331193,Personal,Pagado
10031,Andrés,Sánchez,31,7,24098804,513,9317848,Vivienda,Pagado
10032,Catalina,Rodríguez,56,20,52329541,630,30728935,Vivienda,Pagado
10033,David,Hernández,37,9,24040192,625,9908046,Coche,Pagado
10034,María,Mendoza,27,1,23732348,452,3603756,Coche,Pagado
10035,Alejandro,Torres,46,6,38441190,530,19384095,Vivienda,Pagado
10036,Paola,Rivera,25,0,19089244,491,8431120,Personal,No Pagado
10037,Julián,Ruiz,40,8,36465339,489,13422734,Personal,Pagado
10038,Santiago,Torres,22,0,18738259,543,9410018,Personal,Pagado
10039,Valentina,Torres,24,3,26485649,494,10250606,Educacion,No Pagado
10040,Gabriel,Aguilar,39,14,26188973,542,15397348,Negocio,Pagado
10041,Alejandro,Martínez,45,12,34856123,589,13399023,Educacion,Pagado
10042,Daniela,Ramos,39,8,31040934,534,13314067,Personal,Pagado
10043,Juan,Torres,36,6,15438963,477,5073852,Educacion,No Pagado
10044,Nicolás,Castro,34,6,22170236,517,10886418,Personal,No Pagado
10045,Camila,Ramírez,23,0,14532003,442,6728164,Coche,Pagado
10046,David,Ramos,30,4,29141029,520,5904250,Coche,Pagado
10047,Miguel,Ortiz,33,7,23865783,574,1936732,Personal,No Pagado
10048,Isabela,Díaz,48,14,35109605,497,14308873,Coche,Pagado
10049,Gabriel,Rodríguez,41,11,37887428,462,8658742,Personal,No Pagado
10050,Camilo,González,22,1,10310446,487,1000000,Vivienda,No Pagado
10051,Alejandra,Ramos,41,4,20643779,495,12689888,Vivienda,No Pagado
10052,Mariana,Castro,34,8,26592038,525,9966816,Coche,Pagado
10053,Santiago,Castro,31,2,16961466,528,6613366,Vivienda,No Pagado
10054,Juan,Sánchez,44,8,27351603,430,8802508,Vivienda,No Pagado
10055,Daniel,Pérez,48,10,40467168,603,16369799,Negocio,Pagado
10056,Santiago,Hernández,47,14,42979869,499,21266567,Negocio,Pagado
10057,Natalia,Flores,29,3,27344321,509,9618056,Educacion,Pagado
10058,Julián,Rivera,34,1,31143883,489,7952825,Coche,No Pagado
10059,Daniela,Gutiérrez,41,11,40005671,517,23325743,Educacion,No Pagado
10060,Lucía,Ortiz,47,8,25557048,648,16076785,Coche,Pagado
10061,José,Torres,33,6,29252059,539,16866653,Personal,Pagado
10062,Alejandra,Vargas,36,8,26951959,578,7889370,Personal,Pagado
10063,Gabriel,Castro,26,5,18662878,507,9179974,Coche,Pagado
10064,Paula,Vargas,26,7,26002073,537,5574964,Educacion,No Pagado
10065,Héctor,Ruiz,46,8,26948522,576,11957908,Negocio,Pagado
10066,Miguel,Díaz,51,14,32244456,582,15311381,Educacion,Pagado
10067,Gabriel,Martínez,37,7,32967863,594,14691232,Coche,No Pagado
10068,Laura,Gutiérrez,48,14,41638930,574,23014812,Personal,Pagado
10069,Mariana,Castillo,41,10,34083663,670,21337277,Coche,Pagado
10070,María,Cruz,31,3,20200432,565,13316525,Vivienda,No Pagado
10071,Ricardo,Hernández,41,8,36319148,482,7614046,Personal,Pagado
10072,Julián,Torres,53,12,44801514,570,27881861,Educacion,Pagado
10073,Carolina,Guerrero,37,10,31426522,555,19708657,Personal,Pagado
10074,Daniela,Rivera,53,17,37513394,578,11533878,Coche,Pagado
10075,Valentina,Pérez,22,3,17073758,526,7244773,Coche,Pagado
10076,Natalia,Reyes,46,11,40989168,604,25225664,Vivienda,Pagado
10077,Héctor,García,38,6,36635956,463,14780190,Vivienda,No Pagado
10078,Carlos,Rojas,35,3,25367316,595,14916009,Personal,No Pagado
10079,Valentina,Gutiérrez,38,9,29951635,507,14964014,Personal,Pagado
10080,David,Rojas,22,0,17191554,455,8059863,Personal,Pagado
10081,Alejandro,Cruz,35,12,31974465,495,18897954,Personal,Pagado
10082,Carolina,Ortiz,41,6,28894663,586,8508387,Educacion,Pagado
10083,Carlos,Medina,52,16,27929074,554,9083232,Vivienda,No Pagado
10084,Miguel,García,32,10,33963845,485,15091993,Personal,Pagado
10085,Carolina,Bermúdez,29,5,33173444,490,5231509,Negocio,Pagado
10086,Luis,González,32,6,23338000,417,6268998,Coche,No Pagado
10087,Camilo,Cruz,47,10,31666733,512,22831397,Personal,No Pagado
10088,Miguel,Martínez,41,5,30714497,474,18452524,Educacion,Pagado
10089,Isabela,García,32,7,25862480,503,16800733,Vivienda,Pagado
10090,Isabela,Sánchez,43,15,41577592,589,12337579,Vivienda,Pagado
10091,Marcela,Rivera,38,7,30673197,565,20070907,Coche,Pagado
10092,Sebastián,Guerrero,47,9,32636885,627,15708413,Personal,Pagado
10093,Paola,Mendoza,30,0,16207952,564,4670700,Negocio,Pagado
10094,Camila,Vargas,34,3,30728170,496,14117331,Personal,No Pagado
10095,David,Ortiz,34,6,30597556,526,17294724,Coche,Pagado
10096,Alejandro,Vargas,23,5,25902799,493,11632056,Educacion,No Pagado
10097,Miguel,Vargas,40,11,28359066,420,19293743,Vivienda,Pagado
10098,Fernando,Rivera,40,10,41992184,479,21260507,Coche,No Pagado
10099,Lucía,Gómez,38,7,21681527,521,14378296,Negocio,No Pagado
10100,Marcela,Medina,35,5,31348005,518,9468706,Educacion,Pagado
10101,Laura,García,23,5,11052086,516,2303861,Educacion,Pagado
10102,Carolina,Ortiz,33,6,23048343,544,11803251,Vivienda,No Pagado
10103,Catalina,Hernández,34,0,33005114,429,16167747,Vivienda,No Pagado
10104,Isabela,Sánchez,29,1,26756821,539,12159828,Vivienda,Pagado
10105,Mariana,López,36,4,25268897,537,10167238,Coche,Pagado
10106,Ana,González,42,8,30605814,579,19562759,Personal,Pagado
10107,Andrea,Vargas,56,19,46503110,646,17917226,Educacion,Pagado
10108,Isabela,Mendoza,39,8,33970704,531,18985692,Personal,Pagado
10109,Carlos,Medina,40,9,38657896,612,22538467,Personal,Pagado
10110,Isabela,Pérez,37,11,29118829,483,12484843,Vivienda,Pagado
10111,Catalina,Aguilar,22,0,9941074,432,4118968,Personal,No Pagado
10112,Gabriel,López,37,13,32984843,557,17046169,Vivienda,Pagado
10113,Andrés,Ramos,38,6,27712845,513,8363403,Vivienda,Pagado
10114,Carlos,López,62,20,43496831,616,29398300,Personal,Pagado
10115,Sebastián,Bermúdez,36,6,30288344,639,19830703,Vivienda,Pagado
10116,Daniela,Cruz,41,10,32334431,565,18034598,Vivienda,Pagado
10117,Gabriel,Guerrero,37,9,32132561,545,10886637,Vivienda,Pagado
10118,Paola,Ruiz,26,3,17127778,450,11815774,Educacion,No Pagado
10119,Andrea,González,49,11,41033552,474,11778603,Vivienda,No Pagado
10120,Alejandro,Castillo,45,8,28414509,547,13176335,Personal,Pagado
10121,Héctor,Ramírez,45,19,35261343,613,13066342,Vivienda,Pagado
10122,Héctor,Rodríguez,28,2,21185428,487,8252002,Personal,No Pagado
10123,Daniela,Guerrero,52,17,51509092,602,33300444,Personal,Pagado
10124,Diego,Pérez,23,0,22524126,572,14355089,Educacion,Pagado
10125,Diana,Reyes,43,10,39985962,629,27951198,Vivienda,Pagado
10126,Paola,Morales,59,18,54485385,623,20184089,Personal,Pagado
10127,Diana,Reyes,28,4,41214160,524,23817674,Vivienda,No Pagado
10128,Santiago,Ramos,32,0,24207945,433,6875149,Vivienda,No Pagado
10129,Sofía,Rojas,38,8,37902004,504,10715832,Personal,Pagado
10130,Catalina,Aguilar,32,2,29863176,504,12362644,Vivienda,No Pagado
10131,Laura,Rodríguez,22,1,23380162,444,7745029,Personal,No Pagado
10132,Paola,Flores,38,5,38471198,552,11284970,Vivienda,Pagado
10133,Héctor,Rodríguez,27,0,18903434,607,14844196,Vivienda,Pagado
10134,Natalia,García,42,9,31106574,629,19027087,Coche,Pagado
10135,Alejandra,Rojas,28,0,23198827,520,11384968,Negocio,Pagado
10136,Diego,Rodríguez,53,14,41286501,621,23758066,Personal,Pagado
10137,Diana,Castro,30,0,24392504,472,3147205,Vivienda,Pagado
10138,David,Aguilar,34,1,33413743,607,7453521,Coche,Pagado
10139,Ana,Ramírez,46,15,36009266,472,21625616,Vivienda,No Pagado
10140,Camila,Mendoza,25,0,18276605,546,3197228,Coche,No Pagado
10141,Juan,Rojas,40,8,32871555,568,15213296,Personal,Pagado
10142,Daniel,Rodríguez,51,17,41058407,531,18568211,Coche,Pagado
10143,Camila,Medina,22,0,8429970,472,4014424,Personal,Pagado
10144,Camila,Cruz,39,6,27699361,473,11040035,Personal,No Pagado
10145,Nicolás,Torres,40,10,36236866,483,7209787,Educacion,No Pagado
10146,Sofía,Cruz,45,15,44987733,472,22462861,Vivienda,Pagado
10147,Luis,Torres,25,0,14026907,536,3879543,Vivienda,Pagado
10148,Camila,Castro,24,1,13803588,558,7224988,Negocio,Pagado
10149,Valentina,Vargas,43,5,32751169,429,19212584,Coche,Pagado
10150,Paola,Aguilar,40,8,21622024,636,14611891,Coche,Pagado
10151,Marcela,Guerrero,40,9,30175148,539,12516554,Personal,No Pagado
10152,Carlos,Reyes,41,7,23519789,555,14131814,Personal,Pagado
10153,Andrea,Medina,31,3,31445306,437,20458031,Vivienda,No Pagado
10154,Diego,Ramírez,40,5,26953344,611,14489652,Coche,No Pagado
10155,Andrés,Gutiérrez,40,9,40664170,556,24394262,Vivienda,Pagado
10156,Paola,López,30,7,31167606,578,19488670,Personal,Pagado
10157,Daniel,Ramírez,56,14,40768413,652,26952862,Coche,Pagado
10158,Miguel,Morales,42,8,27840201,617,12905846,Educacion,Pagado
10159,Andrea,López,26,4,21032271,464,16312967,Negocio,No Pagado
10160,Alejandro,Morales,44,15,36676766,541,10964690,Vivienda,No Pagado
10161,Catalina,Ortiz,28,0,23330734,473,18520613,Personal,No Pagado
10162,Marcela,García,45,11,32317283,602,10458567,Negocio,Pagado
10163,Carolina,Aguilar,49,14,43531974,587,20503855,Coche,Pagado
10164,Héctor,Hernández,29,3,24726640,568,12016688,Personal,Pagado
10165,Diana,Torres,47,5,33298024,620,13714801,Coche,Pagado
10166,Diana,Morales,42,12,31239796,450,11020807,Personal,No Pagado
10167,Carolina,López,46,17,38275575,633,22105627,Personal,Pagado
10168,Fernando,Mendoza,56,17,41115493,637,26134346,Personal,Pagado
10169,Paola,Mendoza,35,3,27292193,505,7152383,Personal,Pagado
10170,Juan,Gómez,30,2,24027193,531,8850257,Vivienda,No Pagado
10171,Andrés,Morales,29,9,27108536,504,9212325,Personal,No Pagado
10172,Catalina,Ramos,29,6,33431212,548,11847765,Personal,Pagado
10173,Camilo,Bermúdez,37,9,29937776,512,14272870,Vivienda,No Pagado
10174,Juan,Castro,41,11,38822989,573,13292320,Coche,No Pagado
10175,Juan,Hernández,40,7,32747936,545,11804946,Personal,Pagado
10176,Camila,Rojas,46,11,35608778,534,18191709,Educacion,No Pagado
10177,Laura,Flores,38,8,30204203,545,18933772,Coche,Pagado
10178,Catalina,Castillo,52,17,42505867,725,22276506,Vivienda,Pagado
10179,Diana,Castro,35,11,31598838,490,7628415,Vivienda,No Pagado
10180,Marcela,Martínez,65,25,49003396,598,24641891,Vivienda,Pagado
10181,Carlos,Ramos,44,7,26673298,511,21209540,Vivienda,Pagado
10182,Felipe,Torres,29,4,27071486,480,11280450,Personal,No Pagado
10183,Juan,Castro,27,5,27490619,551,7081829,Personal,No Pagado
10184,Daniela,Medina,42,12,38528179,588,28259042,Vivienda,Pagado
10185,Diana,Bermúdez,35,5,28574860,526,13874718,Coche,No Pagado
10186,Daniel,García,45,20,43636123,615,25713569,Personal,Pagado
10187,Diana,Ramos,42,6,35967145,591,18776276,Educacion,No Pagado
10188,Santiago,Flores,37,4,32538146,524,10872787,Vivienda,Pagado
10189,Luis,Rojas,29,4,19502295,422,9731491,Coche,No Pagado
10190,Camilo,Rojas,22,6,14915241,533,8380235,Vivienda,Pagado
10191,Gabriela,Rivera,33,3,23857153,528,10188437,Vivienda,Pagado
10192,Carolina,Díaz,46,11,36713079,559,14997321,Personal,Pagado
10193,Sebastián,Vargas,40,12,32390394,515,11762278,Vivienda,Pagado
10194,Lucía,Sánchez,25,1,10816548,533,8153789,Personal,No Pagado
10195,Daniel,Flores,39,7,39608463,561,27164919,Vivienda,Pagado
10196,Ana,López,41,11,32429770,530,15269424,Vivienda,Pagado
10197,Luis,Medina,29,4,24663522,442,14709793,Coche,No Pagado
10198,Ricardo,Pérez,39,12,39222744,600,13269470,Vivienda,Pagado
10199,Marcela,Torres,38,12,20675138,563,9579812,Coche,Pagado
10200,Alejandro,Ortiz,26,3,19041530,513,8307640,Personal,Pagado
10201,Daniel,Vargas,41,10,31464413,397,21284035,Personal,No Pagado
10202,Ricardo,Rojas,43,11,33318449,547,15612869,Vivienda,Pagado
10203,Natalia,López,48,14,38332567,550,20304672,Vivienda,Pagado
10204,Andrés,Rodríguez,48,13,46035673,534,19215888,Coche,Pagado
10205,Nicolás,Rojas,24,1,22967294,537,6219665,Vivienda,Pagado
10206,Alejandra,Ruiz,28,7,29190176,548,21197248,Personal,No Pagado
10207,Felipe,Gutiérrez,43,15,36835601,574,4724022,Coche,Pagado
10208,Daniela,Díaz,43,6,26003134,602,6319763,Negocio,Pagado
10209,Andrés,Rojas,43,11,24601514,488,14831312,Vivienda,Pagado
10210,Felipe,Morales,65,19,43752961,584,15238295,Coche,Pagado
10211,Nicolás,Mendoza,43,10,36398828,554,18043433,Vivienda,Pagado
10212,Diana,Flores,49,15,40358848,533,21456502,Coche,Pagado
10213,David,Torres,47,15,37949181,601,13851937,Educacion,Pagado
10214,Marcela,Reyes,44,11,33757115,523,12967728,Coche,Pagado
10215,Mariana,Díaz,34,0,35258607,599,8457427,Educacion,Pagado
10216,Paola,Mendoza,45,9,31285482,501,15835526,Personal,Pagado
10217,Julián,López,30,7,30239097,632,17675372,Personal,No Pagado
10218,Mariana,Ortiz,35,0,25809564,637,9312030,Coche,Pagado
10219,Carlos,Rodríguez,33,9,27895302,516,13556724,Vivienda,Pagado
10220,Luis,Pérez,38,10,37483187,601,20428575,Educacion,Pagado
10221,Camila,Ramírez,61,23,57912651,584,19360169,Personal,Pagado
10222,Valentina,Medina,22,0,16802252,544,7566512,Coche,Pagado
10223,Laura,Ortiz,44,5,37196013,543,19138324,Vivienda,No Pagado
10224,Paula,Morales,22,1,20219456,419,9106477,Educacion,No Pagado
10225,Sofía,Mendoza,33,9,28237185,327,19210145,Personal,No Pagado
10226,Isabela,Vargas,48,16,41021274,550,19876514,Vivienda,Pagado
10227,David,Morales,38,6,26559955,548,10508413,Personal,Pagado
10228,Ricardo,Gutiérrez,27,3,20669503,576,7897692,Vivienda,Pagado
10229,Daniela,Aguilar,30,2,20696823,512,3553852,Educacion,No Pagado
10230,Juan,Ruiz,44,9,39306883,609,11121979,Coche,Pagado
10231,Carlos,Ruiz,30,7,25123994,487,15769734,Coche,Pagado
10232,Fernando,Flores,40,5,24311429,518,10817611,Personal,Pagado
10233,Sebastián,Pérez,38,5,25982813,590,14744487,Vivienda,Pagado
10234,Catalina,Ramírez,31,1,8000000,370,1000000,Educacion,No Pagado
10235,Diana,López,59,14,43327536,594,13862475,Educacion,Pagado
10236,Alejandro,Vargas,44,11,35788225,530,12277087,Negocio,Pagado
10237,Isabela,Bermúdez,22,3,18519320,564,11544902,Vivienda,No Pagado
10238,Felipe,Gómez,39,8,41300771,514,31672990,Personal,No Pagado
10239,Ricardo,Guerrero,31,0,26274530,544,8837254,Educacion,Pagado
10240,Andrés,Rojas,46,15,41052259,611,10581379,Negocio,Pagado
10241,Nicolás,Vargas,30,9,18183654,426,6925878,Negocio,Pagado
10242,Carolina,Castro,36,5,26576789,520,18884441,Educacion,Pagado
10243,Marcela,López,43,9,31766685,524,19871463,Personal,Pagado
10244,Carolina,Ortiz,46,14,34069594,609,17747265,Personal,Pagado
10245,Luis,Rodríguez,25,6,18200596,533,7447082,Coche,Pagado
10246,Miguel,Ramírez,34,4,17759385,506,8743533,Personal,Pagado
10247,Alejandra,Rivera,33,2,19020733,459,3602455,Negocio,No Pagado
10248,Gabriela,Rodríguez,31,6,30170467,574,12989175,Vivienda,Pagado
10249,Mariana,Hernández,55,19,44685426,581,24876768,Personal,Pagado
10250,Nicolás,González,42,10,31467987,456,16429201,Personal,Pagado
10251,Isabela,Bermúdez,25,0,19772943,413,10593828,Personal,No Pagado
10252,Valentina,González,47,15,44836953,588,24706753,Coche,Pagado
10253,Isabela,Ramos,59,20,48221052,526,22927051,Coche,Pagado
10254,Valentina,Mendoza,48,11,40701870,667,16570125,Personal,Pagado
10255,Natalia,González,22,0,13766975,435,11636605,Coche,No Pagado
10256,Julián,Guerrero,33,1,21906850,518,15407214,Personal,No Pagado
10257,Julián,López,50,16,42969884,580,23481144,Personal,Pagado
10258,Juan,Castro,30,3,33463268,476,10185643,Vivienda,No Pagado
10259,Isabela,Ramírez,42,9,40748874,427,28118861,Coche,No Pagado
10260,Ricardo,Castro,45,11,39114140,567,20385606,Negocio,Pagado
10261,Alejandra,Mendoza,28,3,23557168,465,12302844,Vivienda,Pagado
10262,Marcela,Guerrero,37,10,38005346,542,21178192,Personal,Pagado
10263,Santiago,Torres,22,2,22773391,484,11980508,Negocio,Pagado
10264,Marcela,Morales,27,2,10331689,512,5909184,Vivienda,No Pagado
10265,Gabriel,Torres,35,9,24130345,610,5305451,Vivienda,Pagado
10266,María,Castro,25,3,22690701,468,11514198,Educacion,No Pagado
10267,Nicolás,Torres,54,15,34265162,551,23012427,Coche,Pagado
10268,Miguel,Castro,23,0,14112054,397,1000000,Vivienda,No Pagado
10269,David,Ortiz,33,5,23100925,508,8094605,Vivienda,Pagado
10270,Andrés,Torres,39,10,30919170,560,14460010,Coche,Pagado
10271,Camilo,Hernández,52,14,40162848,548,11817579,Educacion,Pagado
10272,Marcela,Bermúdez,23,0,17154397,513,5990352,Personal,No Pagado
10273,Fernando,Reyes,49,19,45926537,560,22553452,Coche,Pagado
10274,Ana,González,38,11,30673880,463,22723034,Negocio,No Pagado
10275,Ana,Rojas,28,1,20076849,522,3930662,Personal,No Pagado
10276,Sofía,Hernández,42,12,28054139,532,15718663,Personal,No Pagado
10277,Gabriela,Guerrero,39,9,36921731,547,23902911,Vivienda,Pagado
10278,Gabriela,Castillo,31,6,22442512,482,11394260,Coche,No Pagado
10279,Miguel,Guerrero,38,8,25364848,496,8168630,Educacion,Pagado
10280,Andrea,Cruz,34,10,30265452,533,13895871,Personal,No Pagado
10281,Andrea,Vargas,39,10,28365293,523,9498929,Personal,No Pagado
10282,Lucía,Guerrero,44,11,32970236,646,23513429,Educacion,Pagado
10283,María,Ortiz,53,19,45492300,624,18686989,Personal,Pagado
10284,Sofía,Gutiérrez,25,2,18967586,526,3900487,Personal,No Pagado
10285,Marcela,Castro,59,19,59358046,592,19564009,Coche,Pagado
10286,Camila,López,22,1,18025857,377,9626806,Personal,No Pagado
10287,Marcela,Sánchez,36,7,32289191,486,23001808,Educacion,Pagado
10288,Sebastián,Guerrero,43,11,25291529,509,11385155,Vivienda,Pagado
10289,Felipe,Morales,40,7,27296754,523,15194395,Vivienda,Pagado
10290,Santiago,Castillo,31,2,18765431,510,7159412,Personal,No Pagado
10291,Isabela,Ortiz,35,4,22628101,559,16445139,Coche,No Pagado
10292,Camilo,Ramos,33,1,27077689,536,9245834,Educacion,Pagado
10293,Camila,Martínez,32,2,29977825,583,21055349,Coche,Pagado
10294,Sofía,Torres,46,11,38523152,542,19406450,Vivienda,Pagado
10295,Natalia,Rodríguez,41,10,32266776,557,18228994,Coche,Pagado
10296,Daniel,López,31,4,21845724,532,8816239,Vivienda,No Pagado
10297,Isabela,Hernández,46,5,39967998,573,10956718,Educacion,Pagado
10298,Catalina,Flores,41,14,45356277,620,13617076,Vivienda,Pagado
10299,Carolina,Díaz,46,15,39075278,603,11175585,Personal,Pagado
10300,Natalia,Morales,44,12,40696815,482,17362096,Personal,Pagado
10301,Paula,Guerrero,29,9,27516851,504,14413736,Personal,Pagado
10302,Isabela,Ruiz,32,2,28577524,518,9767225,Coche,Pagado
10303,Marcela,Ortiz,45,17,32777266,672,20324367,Personal,Pagado
10304,María,Rodríguez,44,8,31959318,532,16886044,Personal,No Pagado
10305,Diana,Vargas,37,8,32177347,479,16753128,Vivienda,Pagado
10306,Laura,Reyes,39,5,36262454,564,7490639,Vivienda,Pagado
10307,Marcela,Ramírez,50,14,36309328,595,18271355,Vivienda,Pagado
10308,Andrés,Reyes,32,6,16233504,509,9071785,Vivienda,No Pagado
10309,Julián,Cruz,43,10,32108677,536,11200806,Educacion,Pagado
10310,Valentina,Bermúdez,35,9,34450653,581,20355850,Negocio,Pagado
10311,Paula,Pérez,35,7,20680522,475,6601498,Personal,Pagado
10312,Andrés,Mendoza,48,11,32115400,542,21528445,Negocio,Pagado
10313,Mariana,Aguilar,46,10,37179592,529,22595229,Personal,Pagado
10314,Carolina,Ortiz,46,14,37420143,618,23115478,Educacion,No Pagado
10315,Diana,Bermúdez,51,13,43572332,589,14497334,Coche,Pagado
10316,Ana,Martínez,38,11,25856366,474,12826332,Personal,Pagado
10317,Laura,Castro,44,15,35575107,499,14482535,Coche,No Pagado
10318,Juan,Guerrero,34,1,31575927,628,13666843,Negocio,Pagado
10319,Andrea,García,41,13,28635519,601,12103897,Negocio,Pagado
10320,Juan,López,36,13,38984561,580,12272495,Coche,Pagado
10321,Daniela,Medina,38,9,25862915,533,10683053,Educacion,No Pagado
10322,Camilo,Gutiérrez,43,12,39646907,635,22372138,Personal,Pagado
10323,Mariana,Rojas,29,7,23135207,448,13118914,Personal,No Pagado
10324,Marcela,Sánchez,58,17,40675458,631,15111635,Personal,Pagado
10325,Alejandro,Ortiz,27,3,19715504,477,1594045,Vivienda,No Pagado
10326,Paola,Aguilar,25,0,22524645,485,4279382,Vivienda,No Pagado
10327,Natalia,Aguilar,49,14,39765730,607,14100358,Coche,Pagado
10328,Daniela,Medina,45,13,42592347,550,14801313,Vivienda,No Pagado
10329,Isabela,Vargas,44,13,43578700,532,16220353,Educacion,Pagado
10330,Valentina,Hernández,44,14,30884846,523,10231679,Coche,Pagado
10331,Carolina,García,37,5,22718654,419,14926606,Coche,Pagado
10332,Diego,Sánchez,29,2,16476031,547,6056559,Educacion,Pagado
10333,David,García,38,14,28704019,478,15328901,Educacion,No Pagado
10334,Alejandra,Ortiz,31,4,30521072,619,15264062,Educacion,Pagado
10335,Nicolás,Flores,47,13,41001809,547,11263778,Personal,No Pagado
10336,Carlos,Ruiz,36,7,26474862,600,15992372,Coche,Pagado
10337,Miguel,Castillo,29,1,22544487,409,4520671,Personal,No Pagado
10338,Ricardo,Vargas,34,11,36621527,568,17370929,Coche,No Pagado
10339,Gabriel,Cruz,42,8,42740054,605,9584696,Personal,No Pagado
10340,Fernando,Aguilar,32,2,26096921,589,3807746,Negocio,Pagado
10341,Laura,Vargas,29,2,9703594,418,5200703,Coche,No Pagado
10342,Héctor,Flores,40,3,31486435,502,9191884,Personal,Pagado
10343,Camila,Ortiz,40,7,36273740,574,11386388,Vivienda,Pagado
10344,Lucía,Castro,32,2,25923161,526,7233635,Educacion,No Pagado
10345,Juan,Ruiz,33,7,31032574,539,16205669,Personal,Pagado
10346,Diana,Torres,40,7,33385326,521,10889126,Vivienda,Pagado
10347,Laura,Castillo,23,3,13626772,574,5180556,Personal,Pagado
10348,Ana,Rivera,23,5,16168807,634,8349580,Educacion,Pagado
10349,Valentina,García,30,6,23594239,517,5060206,Personal,Pagado
10350,Ana,Castillo,35,6,33527073,554,20149125,Vivienda,Pagado
10351,Ana,Pérez,41,10,29570579,545,16441845,Vivienda,Pagado
10352,Daniel,Reyes,52,10,42279513,646,31260821,Personal,Pagado
10353,Héctor,Castro,46,12,38718462,604,16543503,Negocio,Pagado
10354,Catalina,Castro,36,4,35930986,474,13359888,Vivienda,Pagado
10355,Marcela,Rojas,37,10,30791601,499,18464190,Personal,Pagado
10356,Miguel,Medina,27,10,16226207,445,3738741,Coche,No Pagado
10357,Sebastián,Torres,37,9,33834352,682,10391890,Educacion,Pagado
10358,Paola,Medina,35,1,36890276,565,8936998,Negocio,Pagado
10359,Santiago,Hernández,41,8,36161916,512,21637384,Vivienda,Pagado
10360,Daniel,Reyes,29,4,19861692,470,3974626,Vivienda,Pagado
10361,Diana,Gutiérrez,43,11,29590270,591,15955923,Negocio,Pagado
10362,Sofía,González,53,13,37035155,625,13222217,Personal,Pagado
10363,Isabela,Gutiérrez,36,8,39616559,578,23734242,Educacion,No Pagado
10364,Mariana,Bermúdez,42,6,30763362,521,10257834,Personal,Pagado
10365,Ricardo,Rojas,44,8,31086783,567,12556408,Vivienda,Pagado
10366,Diego,Reyes,33,7,26607816,526,9695296,Negocio,Pagado
10367,Sofía,Mendoza,40,6,29615464,488,10655481,Coche,No Pagado
10368,Felipe,Morales,38,10,39438251,488,9441518,Vivienda,Pagado
10369,Camilo,Sánchez,38,4,24127612,554,8066412,Personal,Pagado
10370,Felipe,Castillo,30,9,32303216,526,19216194,Personal,Pagado
10371,Camila,Gómez,38,6,30610460,565,17957278,Personal,Pagado
10372,Daniela,Castro,42,9,39635132,593,24325794,Educacion,Pagado
10373,Catalina,Castillo,52,16,50313095,662,34931630,Coche,Pagado
10374,Daniela,Morales,47,11,37823988,518,15339912,Personal,Pagado
10375,Laura,Flores,59,19,46224681,630,15785856,Vivienda,Pagado
10376,Alejandro,Hernández,30,6,25530894,553,17956471,Educacion,Pagado
10377,Fernando,Guerrero,46,15,37926146,541,23918398,Personal,No Pagado
